Id,Company,Date,Revenue amount,Annualized revenue (USD),Type,Revenue info (non-annualized),Confidence,Source 1,Source 2,Source 3,Notes,Report date,Source type,Graph note
December 2024 1B,Anthropic,2024-12-31,1000000000.0,1000000000.0,Annualized revenue,,Likely,https://www.cnbc.com/2025/01/22/google-agrees-to-new-1-billion-investment-in-anthropic.html,,,"""In December, Anthropic’s revenue hit an annualized $1 billion, which was an increase of roughly 10x year over year, the source said. The company’s revenue comes primarily from enterprise sales.""",2025-01-22,Media report,
Dec 2024 5.5B,OpenAI,2024-12-31,5500000000.0,5500000000.0,Annual recurring revenue,,Likely,https://www.cnbc.com/2025/06/09/openai-hits-10-billion-in-annualized-revenue-fueled-by-chatgpt-growth.html,,,"""For all of last year, OpenAI had around $5.5 billion in [annual recurring revenue]."" This quote doesn't quite make sense—OpenAI definitely did not have flat ARR across 2024. The most likely interpretation is that OpenAI reached 5.5B at the end of last year.",2025-06-09,Media report,
2024 3.7B,OpenAI,2024-12-31,3700000000.0,,Yearly revenue,,Likely,https://www.bloomberg.com/news/articles/2025-03-26/openai-expects-revenue-will-triple-to-12-7-billion-this-year,,,"""The San Francisco-based company generated $3.7 billion in annual revenue last year, said the person, who spoke on condition of anonymity to discuss internal communications""",2025-03-26,Media report,
Jan 2025 178M,xAI,2025-01-31,178000000.0,178000000.0,Annualized revenue,,Uncertain,https://www.wired.com/story/character-ai-ceo-chatbots-entertainment/,,,"150m + 28m revenue in January. This most likely refers to annualized, not monthly which would be implausibly high given January predates Grok 3. 

The article is somewhat confusing because the passage contradicts itself: ARR increased tenfold in 2025, from 178M to 500M. The tenfold might be about API revenue specifically.

Full quote:

""I’ve since obtained another screenshot from that meeting showing xAI’s revenue over the past seven months. In January, Grok on X was estimated to bring in just under $150 million, with other services like enterprise API usage adding another $28 million. According to the chart, revenue has grown tenfold since the start of 2025, estimated to reach just south of $500 million in July—driven by Grok on X and the $30 a month SuperGrok subscription. A smaller fraction of revenue is generated by the newly released SuperGrok Heavy subscription, which costs $300 a month. xAI did not respond to WIRED’s request for comment.""",2025-08-12,Media report,
March 2025 1.4B,Anthropic,2025-03-01,1400000000.0,1400000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/anthropics-claude-drives-strong-revenue-growth-while-powering-manus-sensation?rc=9mzoog ,,,"""Its annualized revenue—a measure of the past month's revenue multiplied by 12—has grown from $1 billion at the end of last year to $1.4 billion as of earlier this month, according to a person who has seen the numbers.""",2025-03-11,Media report,
March 2025 2B,Anthropic,2025-03-31,2000000000.0,2000000000.0,Annualized revenue,,Confident,https://www.cnbc.com/2025/05/16/anthropic-ai-credit-facility.html,https://www.cnbc.com/2025/05/30/anthropic-hits-3-billion-in-annualized-revenue-on-business-demand-for-ai.html ,,"""Annualized revenue reached $2 billion in the first quarter, the company confirmed, more than doubling from a $1 billion rate in the prior period.""

Additionally, a second source corroborates $2B annualized revenue by end of March:

""The figure crossed $2 billion around the end of March""
https://www.cnbc.com/2025/05/30/anthropic-hits-3-billion-in-annualized-revenue-on-business-demand-for-ai.html ",2025-05-16,Company disclosure,
Q1 2025 208M,xAI,2025-03-31,208000000.0,208000000.0,Quarterly revenue,Forecasted 1B in gross revenue by EOY 2025,Likely,https://www.reuters.com/business/musks-xai-expects-annual-earnings-over-13-billion-by-2029-bloomberg-reports-2025-06-06/,,,"This is annualized from revenue in a full quarter, so it may be an underestimate.

""Gross revenue during the first quarter stood at $52 million""

52M gross revenue during Q1 * 4 = 208M ARR.",2025-06-06,Media report,
April 2025 ChatGPT,OpenAI,2025-04-01,4800000000.0,,Product/division revenue,20M subscribers * 240/year (at minimum) = floor of 4.8B / year,Likely,https://www.theinformation.com/articles/chatgpt-revenue-surges-30-just-three-months ,,,"""ChatGPT has hit 20 million paid subscribers, according to a spokesperson. That’s up from 15.5 million at the end of last year, as we previously reported.
...
The strong growth rate suggests ChatGPT is currently generating at least $415 million in revenue per month (a pace of $5 billion a year), up 30% from at least $333 million per month ($4 billion annually) at the end of last year.

The actual figure could be somewhat higher, given that corporate ChatGPT plans are more expensive and the company has had early success selling $200-a-month Pro plans, which are 10 times more expensive than basic ChatGPT Plus plans.""",2025-04-01,Company disclosure,
May 2025 3B,Anthropic,2025-05-30,3000000000.0,3000000000.0,Annualized revenue,,Likely,https://www.cnbc.com/2025/05/30/anthropic-hits-3-billion-in-annualized-revenue-on-business-demand-for-ai.html,,,"""Artificial intelligence developer Anthropic is making about $3 billion in annualized revenue, according to two sources familiar with the matter, in an early validation of generative AI use in the business world.
The milestone, which projects the company’s current sales over the course of a year, is a significant jump from December 2024 when the metric was nearly $1 billion, the sources said. The figure crossed $2 billion around the end of March, and at May’s end it hit $3 billion, one of the sources said.""",2025-05-30,Media report,
June 2025 10B,OpenAI,2025-06-09,10000000000.0,10000000000.0,Annual recurring revenue,,Likely,https://www.cnbc.com/2025/06/09/openai-hits-10-billion-in-annualized-revenue-fueled-by-chatgpt-growth.html,,,"""OpenAI has hit $10 billion in annual recurring revenue, or ARR, less than three years after launching its popular ChatGPT chatbot. The figure includes sales from the company’s consumer products; ChatGPT business products; and its application programming interface, or API. It excludes licensing revenue from Microsoft and large one-time deals, according to an OpenAI spokesperson. For all of last year, OpenAI had around $5.5 billion in ARR. Reaching its meteoric growth rates requires a substantial amount of cash. The San Francisco-based startup lost about $5 billion last year.""

the line about ""For all of last year, OpenAI had around $5.5 billion in ARR."" probably means $5.5B as of end of 2024, but unclear. check article for clarification?

Also could be higher under different accounting, due to the Microsoft license exclusion. This may be a different standard from other OpenAI revenue reports.",2025-06-09,Company disclosure,
June 2025 100M,Mistral AI,2025-06-11,100000000.0,100000000.0,Annualized revenue,,Confident,https://www.wsj.com/tech/ai/fears-over-u-s-ai-dominance-boost-business-for-frances-mistral-14405419,,,"""The trend is accelerating the adoption of Mistral’s AI models, putting the company on pace to earn revenue of more than $100 million a year, Mensch said.""",2025-06-11,Company disclosure,
H1 2025 4.3B,OpenAI,2025-06-30,8600000000.0,,Other,4.3B in H1,Likely,https://www.theinformation.com/articles/openais-first-half-results-4-3-billion-sales-2-5-billion-cash-burn?rc=9mzoog,,,"""OpenAI generated around $4.3 billion in revenue in the first half of 2025, about 16% more than it generated all of last year, according to financial disclosures to shareholders.""",2025-09-29,Media report,
July 2025 4B,Anthropic,2025-07-01,4000000000.0,4000000000.0,Annualized revenue,,Likely,https://www.theinformation.com/articles/anthropic-revenue-hits-4-billion-annual-pace-competition-cursor-intensifies?rc=9mzoog,,,"""Anthropic Revenue Hits $4 Billion Annual Pace as Competition With Cursor Intensifies""

""The hiring underscores the frenetic nature of talent moves in the AI field this year. It also comes as Anthropic’s revenue is accelerating as businesses pay to access its Claude AI models. It reached a pace of $4 billion annually, or $333 million per month, up almost four times from the start of the year, according to people familiar with the finances.""",2025-07-01,Media report,
July 2025 5B,Anthropic,2025-07-29,5000000000.0,5000000000.0,Annual recurring revenue,,Likely,https://www.bloomberg.com/news/articles/2025-07-29/anthropic-nears-deal-to-raise-funding-at-170-billion-valuation,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,,"""As the most recent funding talks came together, Anthropic’s sales have surged. The company was generating about $4 billion in annual recurring revenue earlier this month, Bloomberg previously reported. By the end of July, that number had climbed to about $5 billion, according to one of the people. The company expects its recurring revenue could hit $9 billion by the end of this year.""

This was also corroborated by Anthropic in its Series F announcement, citing annualized run-rate

""At the beginning of 2025, less than two years after launch, Anthropic’s run-rate revenue had grown to approximately $1 billion. By August 2025, just eight months later, our run-rate revenue reached over $5 billion—making Anthropic one of the fastest-growing technology companies in history.""",2025-07-29,Company disclosure,
July 2025 12B,OpenAI,2025-07-30,12000000000.0,12000000000.0,Annualized revenue,,Confident,https://www.cnbc.com/2025/08/20/openai-compute-ai.html ,https://www.theinformation.com/articles/openai-hits-12-billion-annualized-revenue-breaks-700-million-chatgpt-weekly-active-users?rc=9mzoog,,"CFO Sarah Friar said on CNBC that July was the first month that OpenAI achieved 1B in revenue.

Corroborated by a report from The Information:

""OpenAI roughly doubled its revenue in the first seven months of the year, reaching $12 billion in annualized revenue, according to a person who spoke to OpenAI executives.""

Quote implies the revenue rate was achieved sometime July but timing is unclear: could be late July?

There is another report of 13B from just two days later: could be new information, or rounding. ",2025-07-30,Company disclosure,
July 2025 500M,xAI,2025-07-31,500000000.0,500000000.0,Annualized revenue,,Likely,https://www.wired.com/story/character-ai-ceo-chatbots-entertainment/,,,"""just south"" of $500M, so some uncertainty. In addition, the content of the revenue claim is slightly unclear. This almost certainly refers to annualized revenue across the past seven months, not monthly revenue? It is very unlikely that xAI made 2B annualized in January 2025 and 6B in July, which would be higher than Anthropic.

Counting this as annualized since it's monthly.

Full quote:

""I’ve since obtained another screenshot from that meeting showing xAI’s revenue over the past seven months. In January, Grok on X was estimated to bring in just under $150 million, with other services like enterprise API usage adding another $28 million. According to the chart, revenue has grown tenfold since the start of 2025, estimated to reach just south of $500 million in July—driven by Grok on X and the $30 a month SuperGrok subscription. A smaller fraction of revenue is generated by the newly released SuperGrok Heavy subscription, which costs $300 a month. xAI did not respond to WIRED’s request for comment.""",2025-08-12,Media report,
August 2025 13B,OpenAI,2025-08-01,13000000000.0,13000000000.0,Annual recurring revenue,,Likely,https://www.nytimes.com/2025/08/01/business/dealbook/openai-ai-mega-funding-deal.html,,,"""DealBook hears that the company’s annual recurring revenue has soared to $13 billion, up from $10 billion in June — and is projected to surpass $20 billion by the end of the year.""

",2025-08-01,Media report,
3B API,OpenAI,2025-08-26,3000000000.0,,Product/division revenue,,Likely,https://www.ft.com/content/b81d5fb6-26e9-417a-a0cc-6b6689b70c98,,,"""the start-up’s API sales revenues, which account for roughly a quarter of current annual recurring revenue of $12bn.""",2025-08-26,Media report,
Oct 2025 7B,Anthropic,2025-10-21,7000000000.0,7000000000.0,Annualized revenue,,Confident,https://www.anthropic.com/news/statement-dario-amodei-american-ai-leadership,https://www.reuters.com/business/retail-consumer/anthropic-aims-nearly-triple-annualized-revenue-2026-sources-say-2025-10-15/,,"From Amodei's statement: ""Anthropic is the fastest-growing software company in history, with revenue growing from a $1B to $7B run rate over the last nine months.""

This follows/corroborates a report a week earlier from Reuters: ""Anthropic told Reuters its annual revenue run rate is approaching $7 billion this month"".",2025-10-21,Company disclosure,
